device,model_id,newest_firmware,newest_firmware_url,newest_firmware_date,oldest_changelog_version,oldest_changelog_url,release_date,release_date_raw,release_date_source,resolution,color,spec_source,notes
Aqua (640),161,4.4.1852,https://download.pocketbook-int.com/fw/Yitoa/640/user/20171017/sw_20171017_640_W_br_4.4_1852_br_4.4_for_qt5_qt5_user.zip,2017-10-17,4.4.1852,https://support.pocketbook-int.com/fw/640/ww/4.4.1852/rn/RN_PB_640_EN 4.4.1852.pdf,2017-10-17,"October 17, 2017",changelog PDF,800×600,False,User_Guide_PocketBook_640_DE.pdf (FW 4.4.1852),Single firmware version on the API. Release date from changelog PDF first page.
Aqua 2,27,5.20.797,https://download.pocketbook-int.com/fw/Yitoa/641/user/20190604/sw_20190604_U641_5.20.797_user.zip,2019-06-04,5.17.1665,https://support.pocketbook-int.com/fw/641/u/5.17.1665/rn/de/RN_PB_641_DE.5.17.1665.pdf,2018-04-30,"30. April, 2018",changelog PDF,1024×758,False,User_Manual_Aqua_2_DE.pdf (v5.20.797),"6"" E Ink Carta, 212 dpi, Schwarz-Weiß."
Basic 3 (Support eingestellt),29,5.17.964,https://download.pocketbook-int.com/fw/Yitoa/614-2/user/20171123/sw_20171123_614-2_U_5.17.964.user.zip,2017-11-23,5.17.964,https://support.pocketbook-int.com/fw/614-2/u/5.17.964/rn/ww/RN_PB_Basic_3_EN.5.17.964.pdf,2017-11-23,"November 23, 2017",changelog PDF,800 × 600,False,User_Manual_Basic_3_DE.pdf v5.17.964,Only firmware entry; support ended.
Basic 4 Black,1365,5.17.2175,https://download.pocketbook-int.com/fw/Liangyan/606/user/20210217/sw_20210217_U606_5.17.2175_5.17.j_cloud_no_user.zip,2021-02-17,5.17.2175,https://support.pocketbook-int.com/fw/606/u/5.17.2175/rn/de/RN_PB_Basic_4_DE_5.17.pdf,2021-02-17,"Februar 17, 2021",changelog PDF,1024 × 758,False,User_Manual_Basic_4_DE.pdf (FW 5.17.2175),API lists a single firmware version; oldest changelog = newest (only one).
Basic 611 (Support eingestellt),152,16.0,https://download.pocketbook-int.com/fw/netronix/611/user/sw_20130205_611_EURO_us_br_16.0_611_239_user.zip,2013-02-05,15.5,https://support.pocketbook-int.com/fw/611/ww/15.5/rn/RN_PB_611_ENG__15.5.pdf,2012-01-30,"January, 30 2012",changelog PDF,600×800,False,User_Guide_PocketBook_611_DE.pdf (v16.0),Support eingestellt. Monochrome E Ink Vizplex display per manual (Schwarz/Weiß).
Basic Lux (615),104,5.17.999,https://download.pocketbook-int.com/fw/Yitoa/615/user/20171130/sw_20171130_615_U_5.17.notouch_999_5.17_615_-bookstore_gdb_pn_user.zip,2017-11-30,5.17.999,https://support.pocketbook-int.com/fw/615-2/u/5.17.999/rn/ww/RN_PB_Basic_Lux_EN_5.17.999.pdf,2017-11-30,"November 30, 2017",changelog PDF,1024×758,False,User_Manual_Basic_Lux_DE.pdf (FW 5.17.999),Only one firmware version available.
Basic Lux 2,26,5.17.2173,https://download.pocketbook-int.com/fw/Jezetek/616/user/20210217/sw_20210217_U616_5.17.2173_5.17.j_cloud_no_user.zip,2021-02-17,5.17.2173,https://support.pocketbook-int.com/fw/616/u/5.17.2173/rn/de/RN_Basic_Lux_2_DE_5.17.pdf,2021-02-17,"Februar 17, 2021",changelog PDF,1024 × 758,False,User_Manual_Basic_Lux_2_DE.pdf (FW 5.17.2173),"Single firmware version available in API. Manual: 6"" E Ink Carta, Schwarz/Weiß, 212 dpi."
Basic Lux 3 InkBlack,1605,6.6.906,https://download.pocketbook-int.com/fw/Liangyan/617/user/20221215/sw_20221215_U617_6.6.906_user.zip,2022-12-15,6.6.895,https://support.pocketbook-int.com/fw/617/u/6.6.895/rn/de/RN_PB_Basic_Lux_3_DE.pdf,2022-10-19,"Oktober 19, 2022",changelog PDF,1024×758,False,User_Manual_Basic_Lux_3_DE.pdf (v6.6.906),"Oldest version 6.6.304 has no release-notes PDF; used next-oldest 6.6.895 for changelog. Display: 6"" E Ink Carta, 1024x758, 212 dpi, Schwarz-Weiß."
Basic Lux 4 Ink Black,1964,6.9.1044,https://download.pocketbook-int.com/fw/Liangyan/618/user/20260520/sw_20260520_U618_6.9.1044_user.zip,2026-05-20,6.8.3093,https://support.pocketbook-int.com/fw/618/u/6.8.3093/rn/de/RN_PB_Basic_Lux_4_DE.pdf,2024-02-12,"Februar 12, 2024",changelog PDF,758 × 1024,False,User_Manual_Basic_Lux_4_DE.pdf (v6.9.1044),Newest firmware date parsed from sw_20260520 in zip filename. Changelog date from RN PDF first page.
Basic New 613 (Support eingestellt),154,4.0,https://download.pocketbook-int.com/fw/Foxconn/613/user/20130314/sw_20130314_613_EURO_br_4.0_613_477_user.zip,2013-03-14,3.3.4,https://support.pocketbook-int.com/fw/613/ww/3.3.4/rn/RN_PB_613_3.3.4_EN.pdf,2012-10-24,"October, 24, 2012",changelog PDF,600×800,False,User_Guide_PocketBook_613_DE.pdf (v4.0),API title for newest version is the number 4; firmware text says v.4.0. Changelog PDF header says 'Firmware version 3.3.4379' while API version is 3.3.4.
