device	firmware_name	zip	url	abi
PocketBook Color Moon Silver	U633_6.8.2817	sw_20231228_U633_6.8.2817_user.zip	https://download.pocketbook-int.com/fw/Yitoa/633/user/20231228/sw_20231228_U633_6.8.2817_user.zip	
Touch Lux 5 Ink Black / Ruby Red	U628_6.9.988	sw_20260408_U628_6.9.988_user.zip	https://download.pocketbook-int.com/fw/Yitoa/628/user/20260408/sw_20260408_U628_6.9.988_user.zip	
Basic Lux 4 Ink Black	U618_6.9.1044	sw_20260520_U618_6.9.1044_user.zip	https://download.pocketbook-int.com/fw/Liangyan/618/user/20260520/sw_20260520_U618_6.9.1044_user.zip	
InkPad Lite	U970_6.8.4644	sw_20250318_U970_6.8.4644_user.zip	https://download.pocketbook-int.com/fw/Jezetek/970/user/20250318/sw_20250318_U970_6.8.4644_user.zip	
InkPad 3 Pro	U740-2_6.8.4521	sw_20250127_U740-2_6.8.4521_user.zip	https://download.pocketbook-int.com/fw/Yitoa/740-2/user/20250127/sw_20250127_U740-2_6.8.4521_user.zip	
InkPad 3 Black / Dark Brown	U740_6.8.4473	sw_20250110_U740_6.8.4473_user.zip	https://download.pocketbook-int.com/fw/Yitoa/740/user/20250110/sw_20250110_U740_6.8.4473_user.zip	
InkPad X	U1040_6.8.4083	sw_20240906_U1040_6.8.4083_user.zip	https://download.pocketbook-int.com/fw/Jezetek/1040/user/20240906/sw_20240906_U1040_6.8.4083_user.zip	
InkPad Color	U741_6.8.4079	sw_20240906_U741_6.8.4079_user.zip	https://download.pocketbook-int.com/fw/Yitoa/741/user/20240906/sw_20240906_U741_6.8.4079_user.zip	
InkPad Color 2	U743c_6.8.3140	sw_20240226_U743c_6.8.3140_user.zip	https://download.pocketbook-int.com/fw/Yitoa/743c/user/20240226/sw_20240226_U743c_6.8.3140_user.zip	
Basic Lux 3 InkBlack	U617_6.6.906	sw_20221215_U617_6.6.906_user.zip	https://download.pocketbook-int.com/fw/Liangyan/617/user/20221215/sw_20221215_U617_6.6.906_user.zip	
Touch Lux 4 black / emerald / silver / Limited Edition	U627_6.5.2898	sw_20220720_U627_6.5.2898_user.zip	https://download.pocketbook-int.com/fw/Yitoa/627/user/20220720/sw_20220720_U627_6.5.2898_user.zip	
Touch HD 3 Metallic Grey / Spicy Copper	U632_6.11.1796	sw_20260811_U632_6.11.1796_user.zip	https://download.pocketbook-int.com/fw/Yitoa/632/user/20260811/sw_20260811_U632_6.11.1796_user.zip	
InkPad 4	U743g_6.11.1683	sw_20260731_U743g_6.11.1683_user.zip	https://download.pocketbook-int.com/fw/Yitoa/743g/user/20260731/sw_20260731_U743g_6.11.1683_user.zip	
InkPad One	U1030_6.11.1437	swupdate_user_1030_6.11.1437.zip	https://download.pocketbook-int.com/fw/Jezetek/1030/user/20260713/swupdate_user_1030_6.11.1437.zip	armhf
Era Lite	U710_6.10.3463	sw_20260414_U710_6.10.3463_user.zip	https://download.pocketbook-int.com/fw/Jezetek/710/user/20260414/sw_20260414_U710_6.10.3463_user.zip	
Verse Pro Azure / Passion Red	U634_6.10.3425	sw_20260324_U634_6.10.3425_user.zip	https://download.pocketbook-int.com/fw/Yitoa/634/user/20260324/sw_20260324_U634_6.10.3425_user.zip	
Era Stardust Silver / Sunset Copper	U700_6.10.3209	sw_20260223_U700_6.10.3209_user.zip	https://download.pocketbook-int.com/fw/Jezetek/700/user/20260223/sw_20260223_U700_6.10.3209_user.zip	
InkPad Color 3	U743k3_6.10.2854	sw_20260105_U743k3_6.10.2854_user.zip	https://download.pocketbook-int.com/fw/Yitoa/743k3/user/20260105/sw_20260105_U743k3_6.10.2854_user.zip	
Verse Pro Color / Summer Edition	U634k3_6.10.2544	sw_20251201_U634k3_6.10.2544_user.zip	https://download.pocketbook-int.com/fw/Yitoa/634k3/user/20251201/sw_20251201_U634k3_6.10.2544_user.zip	
Era Color	U700k3_6.10.2359	sw_20251113_U700k3_6.10.2359_user.zip	https://download.pocketbook-int.com/fw/Jezetek/700k3/user/20251113/sw_20251113_U700k3_6.10.2359_user.zip	
Verse Lite	U619_6.10.2006	sw_20251009_U619_6.10.2006_user.zip	https://download.pocketbook-int.com/fw/Yitoa/619/user/20251009/sw_20251009_U619_6.10.2006_user.zip	
Verse Bright Blue / Mist Grey	U629_6.10.1461	sw_20250826_U629_6.10.1461_accessibility_eink_user.zip	https://download.pocketbook-int.com/fw/Liangyan/629/user/20250826/sw_20250826_U629_6.10.1461_accessibility_eink_user.zip	
